Chinou,Kankei,Sousa,Syutyu,Undo,Nintai
121,22,74,223,54,254
108,30,80,175,40,300
122,49,87,266,41,223
77,37,66,178,80,209
140,35,71,175,38,261
108,37,57,241,59,245
124,39,52,194,72,242
130,34,89,200,85,242
149,55,91,198,50,277
129,38,72,162,47,268
154,37,87,170,60,244
145,33,88,208,51,228
112,40,60,232,29,279
120,39,73,159,39,233
118,21,83,152,88,233
141,42,80,195,36,241
135,49,73,152,42,249
151,37,76,223,74,268
97,46,83,164,31,243
109,42,82,188,57,267
132,17,77,232,50,249
123,32,79,192,64,315
129,31,96,250,55,319
131,23,67,291,48,310
110,24,96,239,42,268
47,22,87,231,40,217
125,32,87,227,30,324
129,29,102,234,58,300
130,26,104,256,58,270
147,47,82,240,30,322
159,37,80,227,58,317
135,41,83,216,39,306
100,35,83,183,57,242
149,37,94,227,30,240
149,38,78,258,42,271
153,27,89,283,66,291
136,31,83,257,31,311
97,36,100,252,30,225
141,37,105,250,27,243
164,32,76,187,30,264
